id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
339,1,1,1,5,11,Algebra ,19,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+11.pdf
338,1,1,1,5,10,Mensuration ,16,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+10.pdf
337,1,1,1,5,9,Data Handling,15,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+9.pdf
336,1,1,1,5,8,Decimals ,22,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+8.pdf
335,1,1,1,5,7,Fractions,29,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+7.pdf
334,1,1,1,5,6,Integers ,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+6.pdf
333,1,1,1,5,5,Understanding Elementry Shape S,24,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+5.pdf
332,1,1,1,5,4,Basic Geometric Idea,12,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+4.pdf
331,1,1,1,5,3,Playing With Number,26,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+3.pdf
330,1,1,1,5,2,Whole Number ,9,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+2.pdf
329,1,1,1,5,1,Knowing Our Number ,9,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/6th/chapter+1.pdf 
328,4,1,1,5,23,Data Handling-3,37,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+23.pdf
327,4,1,1,5,22,Data Handling-2,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+22.pdf
326,4,1,1,5,21,Data Handling-1,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+21.pdf
325,4,1,1,5,20,Mensuration ,37,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+20.pdf
324,4,1,1,5,19,Geometric Construction ,34,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+19.pdf
323,4,1,1,5,18,Basic Geometric Tool,18,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+18.pdf
322,4,1,1,5,17,Symmetry,27,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+17.pdf
321,4,1,1,5,16,Understanding 3D,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+16.pdf
320,4,1,1,5,15,Pair Of Line ,5,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+15.pdf
319,4,1,1,5,14,Circles ,6,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+14.pdf
318,4,1,1,5,13,Quadilaterals,2,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+13.pdf
317,4,1,1,5,12,Triangles ,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+12.pdf
316,4,1,1,5,11,Angles ,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+11.pdf
315,4,1,1,5,10,Basic Geometric Concept,25,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+10.pdf
314,4,1,1,5,9,Ratio Proportion ,18,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+9.pdf
313,4,1,1,5,8,Introduction To Algebra,12,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+8.pdf
312,4,1,1,5,7,Decimal,38,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+7.pdf
311,4,1,1,5,6,Fraction ,60,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+6.pdf
310,4,1,1,5,5,Negative Integer And Number,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+5.pdf
